colour_depth,cell_px,series,degradation,severity,condition,decoder,frames,shape_ser,colour_ser,symbol_ser,byte_error_rate,fixed_rs,fixed_yield,fixed_goodput_mbps,fixed_goodput_band_credited_mbps,rs_selection,n_selection_frames,n_evaluation_frames,best_rs,best_code_rate,best_yield,best_payload_bytes,goodput_mbps,goodput_band_credited_mbps,in_sample_rs,in_sample_goodput_mbps,evaluation_oracle_goodput_mbps,band_cell_cost_pct,ceiling_mbps
1,4,blur,blur,0.5,blur(0.5),luma/mean,200,0,0,0,0,"RS(155,125)",1,3.5652,3.6552,out_of_sample,100,100,"RS(155,154)",0.993548,1,18306,4.39344,4.50432,"RS(155,154)",4.39344,4.39344,2.83326,4.4364
1,4,blur,blur,0.5,blur(0.5),luma/saturated,200,0,0,0,0,"RS(155,125)",1,3.5652,3.6552,out_of_sample,100,100,"RS(155,154)",0.993548,1,18306,4.39344,4.50432,"RS(155,154)",4.39344,4.39344,2.83326,4.4364
1,4,blur,blur,0.5,blur(0.5),max/mean,200,0,0,0,0,"RS(155,125)",1,3.5652,3.6552,out_of_sample,100,100,"RS(155,154)",0.993548,1,18306,4.39344,4.50432,"RS(155,154)",4.39344,4.39344,2.83326,4.4364
1,4,blur,blur,0.5,blur(0.5),max/saturated,200,0,0,0,0,"RS(155,125)",1,3.5652,3.6552,out_of_sample,100,100,"RS(155,154)",0.993548,1,18306,4.39344,4.50432,"RS(155,154)",4.39344,4.39344,2.83326,4.4364
1,4,blur,blur,0.75,blur(0.75),luma/mean,200,0,0,0,0,"RS(155,125)",1,3.5652,3.6552,out_of_sample,100,100,"RS(155,154)",0.993548,1,18306,4.39344,4.50432,"RS(155,154)",4.39344,4.39344,2.83326,4.4364
1,4,blur,blur,0.75,blur(0.75),luma/saturated,200,0,0,0,0,"RS(155,125)",1,3.5652,3.6552,out_of_sample,100,100,"RS(155,154)",0.993548,1,18306,4.39344,4.50432,"RS(155,154)",4.39344,4.39344,2.83326,4.4364
1,4,blur,blur,0.75,blur(0.75),max/mean,200,0,0,0,0,"RS(155,125)",1,3.5652,3.6552,out_of_sample,100,100,"RS(155,154)",0.993548,1,18306,4.39344,4.50432,"RS(155,154)",4.39344,4.39344,2.83326,4.4364
1,4,blur,blur,0.75,blur(0.75),max/saturated,200,0,0,0,0,"RS(155,125)",1,3.5652,3.6552,out_of_sample,100,100,"RS(155,154)",0.993548,1,18306,4.39344,4.50432,"RS(155,154)",4.39344,4.39344,2.83326,4.4364
1,4,blur,blur,1,blur(1),luma/mean,200,0.17052,0,0.17052,0.312991,"RS(155,125)",0,0,0,out_of_sample,100,100,"RS(255,53)",0.207843,0.84,3796,0.765274,0.786643,"RS(255,53)",0.78805,0.775066,2.83326,4.4364
1,4,blur,blur,1,blur(1),luma/saturated,200,0.17052,0,0.17052,0.312991,"RS(155,125)",0,0,0,out_of_sample,100,100,"RS(255,53)",0.207843,0.84,3796,0.765274,0.786643,"RS(255,53)",0.78805,0.775066,2.83326,4.4364
1,4,blur,blur,1,blur(1),max/mean,200,0.170742,0,0.170742,0.313346,"RS(155,125)",0,0,0,out_of_sample,100,100,"RS(255,49)",0.192157,0.93,3508,0.782986,0.804859,"RS(255,51)",0.793214,0.788832,2.83326,4.4364
1,4,blur,blur,1,blur(1),max/saturated,200,0.170742,0,0.170742,0.313346,"RS(155,125)",0,0,0,out_of_sample,100,100,"RS(255,49)",0.192157,0.93,3508,0.782986,0.804859,"RS(255,51)",0.793214,0.788832,2.83326,4.4364
1,4,blur,blur,1.25,blur(1.25),luma/mean,200,0.452618,0,0.452618,0.700681,"RS(155,125)",0,0,0,out_of_sample,100,100,"RS(255,254)",0.996078,0,18268,0,0,"RS(255,254)",0,0,2.83326,4.4364
1,4,blur,blur,1.25,blur(1.25),luma/saturated,200,0.452618,0,0.452618,0.700681,"RS(155,125)",0,0,0,out_of_sample,100,100,"RS(255,254)",0.996078,0,18268,0,0,"RS(255,254)",0,0,2.83326,4.4364
1,4,blur,blur,1.25,blur(1.25),max/mean,200,0.452873,0,0.452873,0.700959,"RS(155,125)",0,0,0,out_of_sample,100,100,"RS(255,254)",0.996078,0,18268,0,0,"RS(255,254)",0,0,2.83326,4.4364
1,4,blur,blur,1.25,blur(1.25),max/saturated,200,0.452873,0,0.452873,0.700959,"RS(155,125)",0,0,0,out_of_sample,100,100,"RS(255,254)",0.996078,0,18268,0,0,"RS(255,254)",0,0,2.83326,4.4364
1,4,blur,blur,1.5,blur(1.5),luma/mean,200,0.525867,0,0.525867,0.781211,"RS(155,125)",0,0,0,out_of_sample,100,100,"RS(255,254)",0.996078,0,18268,0,0,"RS(255,254)",0,0,2.83326,4.4364
